COMPLETE_TEXT,COUNT,RARITY,TOKEN_ID
the first female ai chatbot nft on namecoin with rgb values stored in morse code in calldata,1,0.02%,[4550]
the first on-chain pixel art nft on polygon fuded by artchick,1,0.02%,[873058]
the first audio nft on ethereum to be sold at sotheby's for a record price,1,0.02%,[5654]
the first female ai chatbot nft on bsc that multiplies over time,1,0.02%,[4627]
the first ahistorical long form generative music nft inspired by capitalism,1,0.02%,[6462]
the first ahistorical furniture themed 10k avatar nft to be sold at christie's,1,0.02%,[4017]
the first windows 95 screensaver nft on tezos that degrades over time,1,0.02%,[3623]
the first low effort gan nft on tezos to be airdropped to mooncat burners,1,0.02%,[8502]
the first play-to-earn long form generative mathematical audio nft that can be staked for mobile phone minutes,1,0.02%,[7962]
the first retro cherrypicked generative recursive dick pic nft on solana to be featured in chickadee magazine,1,0.02%,[821]
the first play-to-earn rock pfp nft deemed to be moma material by a vc fund,1,0.02%,[5492]
the first retro conceptual art nft to be sold on a linearly increasing price ramp,1,0.02%,[3861]
the first short form generative smell-o-vision nft that can be staked for rai stones,1,0.02%,[1197]
the first community oriented stylegan nft on namecoin that puts a curse on the owner over time,1,0.02%,[30001]
the first short form generative text nft on namecoin to be sold at christie's,1,0.02%,[4510]
the first short form generative poetry nft redeemable for a physical statue,1,0.02%,[123457]
the first nft on polygon,1,0.02%,[8823]
the first dick pic nft on tezos to be featured on a cereal box,1,0.02%,[69469]
the first short form generative nuclear dick pic nft on polygon to be airdropped to loot holders,1,0.02%,[4669]
the first open edition gan nft to be airdropped to avastar holders,1,0.02%,[46421]
the first windows 95 screensaver nft on eos,1,0.02%,[13312]
the first ahistorical quantum ai gan nft with metadata stored in morse code on a 5.25 inch floppy,1,0.02%,[2206]
the first ahistorical user-curated generative literature nft denounced as a cash grab by a crypto bro,1,0.02%,[26843]
the first techno utopian stylegan nft burnable for canadian tire money,1,0.02%,[6948]
the first erotic conceptual art nft on tezos deemed historic by the sec,1,0.02%,[3474]
the first loot-derivative body parts 10k avatar nft to be airdropped to autoglyph holders,1,0.02%,[44425]
the first conceptual art nft on polkadot shilled by the sec,1,0.02%,[1894]
the first loot-derivative fruit themed pfp nft to be sold on a linearly decreasing price ramp,1,0.02%,[19739]
the first dick pic nft on solana with pixel data stored in betamax format on a 5.25 inch floppy,1,0.02%,[2056]
the first body parts 10k avatar nft on polygon to render the network unusable,1,0.02%,[9654]
the first quantum ai gan nft on tezos,1,0.02%,[1170]
the first collectible nft redeemable for a physical statue,1,0.02%,[999996]
the first cherrypicked generative music nft with metadata stored in betamax format on a 5.25 inch floppy,1,0.02%,[5438]
the first inflationary audio nft with metadata stored in wav format on ipfs,1,0.02%,[8758]
the first inflationary female ai chatbot nft that can be staked for fastcash,1,0.02%,[78920]
the first low effort fruit themed 10k avatar nft to be featured at the moma,1,0.02%,[550000]
the first deflationary furniture themed pfp nft to be sold using a dutch auction,1,0.02%,[8331]
the first cherrypicked generative cellular automata audio nft hyper commodified by rhea myers,1,0.02%,[6010]
the first open edition generative art nft on polygon to be airdropped to loot burners,1,0.02%,[4658]
the first cash grab windows 95 screensaver nft on solana to have their floor swept by dcinvestor,1,0.02%,[6129]
the first erotic user-curated generative mathematical literature nft to be airdropped to rare pepe burners,1,0.02%,[3347]
the first generative art nft on bsc that can be staked for doge,1,0.02%,[79236]
the first cherrypicked generative poetry nft on cardano to be featured in chickadee magazine,1,0.02%,[76757]
the first nft on solana hacked by a crypto bro,1,0.02%,[7251]
the first animal themed pfp nft on cardano with pixel data stored in contract storage,1,0.02%,[8769]
the first female ai chatbot nft to be airdropped to autoglyph holders,1,0.02%,[88141]
the first rock 10k avatar nft to be sold using a dutch auction,1,0.02%,[80109]
the first ahistorical cherrypicked generative art nft to be featured in playboy magazine,1,0.02%,[1218]
the first successful quantum ai gan nft on cardano to be sold at mcdonald's,1,0.02%,[1774]
the first vegetable pfp nft to be sold at a fleamarket for a pittance,1,0.02%,[4780]
the first composable pixel art nft to be sold on a fomo ramp,1,0.02%,[1444]
the first inflationary long form generative text nft on polkadot with a dramatic title,1,0.02%,[84848]
the first windows 95 screensaver nft on tezos to disrupt a federal government,1,0.02%,[42071]
the first user-curated generative volumetric architecture nft to be sold at a yardsale,1,0.02%,[2182]
the first cherrypicked generative dick pic nft on tezos to be sold at a fleamarket,1,0.02%,[2180]
the first photography nft that you 'should not sleep on' as declared by an art critic,1,0.02%,[55150]
the first female ai chatbot nft on namecoin made entirely with 100% javascript,1,0.02%,[4781]
the first cherrypicked generative 3d art nft on polygon to be sold on an exponential price ramp,1,0.02%,[4422]
the first ahistorical gan nft,1,0.02%,[6221]
the first dick pic nft that puts a curse on the owner over time,1,0.02%,[2181]
the first user-curated generative 3d text nft on polygon to be featured in playboy magazine,1,0.02%,[7869]
the first play-to-earn avastar-derivative animal themed pfp nft to be airdropped to punk holders,1,0.02%,[55235]
the first erotic user-curated generative art nft on ethereum that can be staked for b20,1,0.02%,[1764]
the first dick pic nft with metadata stored in wav format on arweave,1,0.02%,[757]
the first long form generative 3d poetry nft on polygon that shrinks over time,1,0.02%,[884]
the first open edition animal themed 10k avatar nft to be sold at sotheby's,1,0.02%,[13132]
the first retro user-curated generative audio nft with metadata stored in betamax format in a rolodex,1,0.02%,[6217]
the first windows 95 screensaver nft declared historic by the sec,1,0.02%,[1766]
the first cherrypicked generative mathematical text nft on bsc that puts a curse on the owner based on geographic location,1,0.02%,[781]
the first edible fruit themed 10k avatar nft on solana to be featured in the onion,1,0.02%,[3887]
the first viral cherrypicked generative text nft with metadata stored on a 5.25 inch floppy,1,0.02%,[1763]
the first edible avastar-derivative animal themed pfp nft to pass the turing test,1,0.02%,[6218]
the first 10k avatar nft on tezos to be sold at sotheby's for a pittance,1,0.02%,[15213]
the first female ai chatbot nft that time locks based on geographic location,1,0.02%,[3940]
the first animal themed pfp nft on solana with audio data stored in contract storage,1,0.02%,[7853]
the first female ai chatbot nft on cardano to be airdropped to rare pepe holders,1,0.02%,[392991]
the first copy minted animal themed pfp nft on cardano to be sold using a vickrey auction,1,0.02%,[6220]
the first cash grab quantum ai gan nft with rgb values stored on punchcards,1,0.02%,[7345]
the first user-curated generative audio nft deemed historic by the vatican,1,0.02%,[883]
the first mooncat-derivative pirate themed pfp nft on bsc inspired by impressionism,1,0.02%,[986315]
the first audio nft on cardano to be sold using a vickrey auction,1,0.02%,[1765]
the first short form generative mathematical music nft burnable for rock salt,1,0.02%,[4838]
the first 1/1 gan nft on bsc with metadata stored on a 5.25 inch floppy,1,0.02%,[44859]
the first erotic generative art nft to be sold at mcdonald's for a pittance,1,0.02%,[6219]
the first cherrypicked generative fractal literature nft,1,0.02%,[610]
the first open edition quantum ai gan nft on polygon inspired by the old masters,1,0.02%,[6216]
the first open edition pixel art nft on solana heralded as a 'new art medium' by the sec,1,0.02%,[4734]
the first female ai chatbot nft inspired by cubism,1,0.02%,[1196]
the first dick pic nft with audio data stored in a rolodex,1,0.02%,[913]
the first female ai chatbot nft on tezos to be sold on a true bonding curve,1,0.02%,[6128]
the first fruit themed 10k avatar nft on polygon to be featured on the shopping network,1,0.02%,[7755]
the first 1/1 pirate themed pfp nft on polygon to be featured at the moma,1,0.02%,[7821]
the first short form generative architecture nft on solana to be sold at a yardsale for a pittance,1,0.02%,[717171]
the first punk-derivative fruit themed pfp nft inspired by stoicism,1,0.02%,[32453]
the first short form generative text nft on ethereum to be sold at sotheby's,1,0.02%,[50823]
the first photography nft inspired by cubism,1,0.02%,[1084]
the first 10k avatar nft with pixel data stored in the glove compartment,1,0.02%,[5526]
the first body parts 10k avatar nft to be featured in the onion,1,0.02%,[48484]
the first quantum ai gan nft burnable for mobile phone minutes,1,0.02%,[45799]
the first future-oriented stylegan nft to be airdropped to loot burners,1,0.02%,[3202]
the first edible quantum ai gan nft that puts a curse on the owner based on geographic location,1,0.02%,[99991]
the first collaborative rare pepe-derivative fruit themed 10k avatar nft on cardano redeemable for fastcash,1,0.02%,[666420]
the first 1/1 dick pic nft on polkadot fuded by a gatekeeper,1,0.02%,[588]
the first conceptual art nft on solana that puts a curse on the owner over time,1,0.02%,[99536]
the first techno utopian gan nft to be featured in the onion,1,0.02%,[12344]
the first edible conceptual art nft on ethereum redeemable for a coupon at mcdonald's,1,0.02%,[1772]
