TOTAL_WORD_COUNT,COUNT,RARITY,TOKEN_ID
3,1,0.02%,[3369]
24,4,0.08%,[80086;6247;8717;6529]
23,8,0.16%,[8989;8707;6492;7505;777555;405;9115;69421]
4,9,0.18%,[4837;282;700000;4536;6351;51310;5205;690690;450]
22,17,0.34%,[392983;275;7664;3176;6301;22351;4875;353534;121213;3897;392967;71020;475449;188526;29;70002;99999]
5,19,0.38%,[8823;6221;812457;92681;394;333442;239630;54646;4725;77069;233;650;2153;4120;87537;97;11118;17199;14]
21,34,0.68%,[2431;890;30420;135893;405123;5320;4631;875964;4833;4731;2678;5219;4202;36215;6701;5972;161337;516;1080;1472;666222;4228;151013;999451;77288;888572;68002;792670;100006;802730;92075;1234;3334;888]
6,36,0.72%,[4893;740;11298;3770;13234;6526;2365;412456;73624;8633;4881;4136;69732;76011;4724;6424;165;151015;68019;68003;4125;395518;126;95624;239582;51441;666650;66006;94;67;3367;452752;932;632;671;47815]
7,66,1.32%,[5983;49456;610;1084;438293;2513;7250;3769;427;6429;7436;9254;7767;3365;7845;327;3499;3783;4829;56443;4470;13826;382;424242;1597;1941;88887;6925;7445;1468;1475;2323;98563;42143;853;6118;239626;6346;728111;4206;8069;4039;549;1741;6432;666660;4225;9595;4036;15014;95619;301942;63894;777333;31337;11116;65;542222;4112;70010;8001;413;486733;3345;998877;1957]
20,79,1.58%,[781;5611;88188;3420;539;919191;58933;12669;352;260;75341;9034;15215;780586;1429;88388;6729;1606;78914;4276;2721;26635;4544;283;75648;4174;72721;300000;4856;457883;3991;5473;1678;6719;76009;1615;5569;1589;46642;9014;793873;1241;131337;3963;239625;547657;1276;8738;161;4472;10987;763;12616;39291;6501;5683;1746;5000;39288;9058;1358;912;119965;500;73634;66023;475453;71014;5588;63895;42696;8930;3433;133769;373555;50;805;100;346]
